raw_salary,min_monthly,max_monthly,annual_months,total_min,total_max,salary_type,parse_flag
40k-80k·15薪,40.0,80.0,15,600.0,1200.0,月薪,预处理|补全前项k|补全后项k|提取k后薪数|正常解析
50k-100k·15薪,50.0,100.0,15,750.0,1500.0,月薪,预处理|补全前项k|补全后项k|提取k后薪数|正常解析
51k-98k,51.0,98.0,12,612.0,1176.0,月薪,预处理|补全前项k|补全后项k|正常解析
6k-10k·18薪,6.0,10.0,18,108.0,180.0,月薪,预处理|补全前项k|补全后项k|提取k后薪数|正常解析
22k-35k·15薪,22.0,35.0,15,330.0,525.0,月薪,预处理|补全前项k|补全后项k|提取k后薪数|正常解析
80k-120k·18薪,80.0,120.0,18,1440.0,2160.0,月薪,预处理|补全前项k|补全后项k|提取k后薪数|正常解析
65k-130k,65.0,130.0,12,780.0,1560.0,月薪,预处理|补全前项k|补全后项k|正常解析
60k-90k,60.0,90.0,12,720.0,1080.0,月薪,预处理|补全前项k|补全后项k|正常解析
15k-16k,15.0,16.0,12,180.0,192.0,月薪,预处理|补全前项k|补全后项k|正常解析
8k-13k·15薪,8.0,13.0,15,120.0,195.0,月薪,预处理|补全前项k|补全后项k|提取k后薪数|正常解析
25k-30k·14薪,25.0,30.0,14,350.0,420.0,月薪,预处理|补全前项k|补全后项k|提取k后薪数|正常解析
5k-7k·14薪,5.0,7.0,14,70.0,98.0,月薪,预处理|补全前项k|补全后项k|提取k后薪数|正常解析
6k-11k·24薪,6.0,11.0,24,144.0,264.0,月薪,预处理|补全前项k|补全后项k|提取k后薪数|正常解析
15k-25k·24薪,15.0,25.0,24,360.0,600.0,月薪,预处理|补全前项k|补全后项k|提取k后薪数|正常解析
15k-30k·17薪,15.0,30.0,17,255.0,510.0,月薪,预处理|补全前项k|补全后项k|提取k后薪数|正常解析
25k-35k,25.0,35.0,12,300.0,420.0,月薪,预处理|补全前项k|补全后项k|正常解析
23k-45k,23.0,45.0,12,276.0,540.0,月薪,预处理|补全前项k|补全后项k|正常解析
35k-60k,35.0,60.0,12,420.0,720.0,月薪,预处理|补全前项k|补全后项k|正常解析
6k-10k·24薪,6.0,10.0,24,144.0,240.0,月薪,预处理|补全前项k|补全后项k|提取k后薪数|正常解析
10K-20K,10.0,20.0,12,120.0,240.0,月薪,预处理|补全前项k|补全后项k|正常解析
10k-19k,10.0,19.0,12,120.0,228.0,月薪,预处理|补全前项k|补全后项k|正常解析
24k-35k,24.0,35.0,12,288.0,420.0,月薪,预处理|补全前项k|补全后项k|正常解析
25k-50k·15薪,25.0,50.0,15,375.0,750.0,月薪,预处理|补全前项k|补全后项k|提取k后薪数|正常解析
50k-60k,50.0,60.0,12,600.0,720.0,月薪,预处理|补全前项k|补全后项k|正常解析
35k-65k·16薪,35.0,65.0,16,560.0,1040.0,月薪,预处理|补全前项k|补全后项k|提取k后薪数|正常解析
16k-25k,16.0,25.0,12,192.0,300.0,月薪,预处理|补全前项k|补全后项k|正常解析
15k-30k·18薪,15.0,30.0,18,270.0,540.0,月薪,预处理|补全前项k|补全后项k|提取k后薪数|正常解析
20k-28k·18薪,20.0,28.0,18,360.0,504.0,月薪,预处理|补全前项k|补全后项k|提取k后薪数|正常解析
10k-15k·18薪,10.0,15.0,18,180.0,270.0,月薪,预处理|补全前项k|补全后项k|提取k后薪数|正常解析
15k-26k,15.0,26.0,12,180.0,312.0,月薪,预处理|补全前项k|补全后项k|正常解析
15k-20k·15薪,15.0,20.0,15,225.0,300.0,月薪,预处理|补全前项k|补全后项k|提取k后薪数|正常解析
9K-15K,9.0,15.0,12,108.0,180.0,月薪,预处理|补全前项k|补全后项k|正常解析
6k-7k·14薪,6.0,7.0,14,84.0,98.0,月薪,预处理|补全前项k|补全后项k|提取k后薪数|正常解析
19k-20k,19.0,20.0,12,228.0,240.0,月薪,预处理|补全前项k|补全后项k|正常解析
10k-17k,10.0,17.0,12,120.0,204.0,月薪,预处理|补全前项k|补全后项k|正常解析
14k-22k,14.0,22.0,12,168.0,264.0,月薪,预处理|补全前项k|补全后项k|正常解析
42k-80k,42.0,80.0,12,504.0,960.0,月薪,预处理|补全前项k|补全后项k|正常解析
11k-14k,11.0,14.0,12,132.0,168.0,月薪,预处理|补全前项k|补全后项k|正常解析
60k-120k,60.0,120.0,12,720.0,1440.0,月薪,预处理|补全前项k|补全后项k|正常解析
14k-18k,14.0,18.0,12,168.0,216.0,月薪,预处理|补全前项k|补全后项k|正常解析
20k-32k,20.0,32.0,12,240.0,384.0,月薪,预处理|补全前项k|补全后项k|正常解析
35k-40k,35.0,40.0,12,420.0,480.0,月薪,预处理|补全前项k|补全后项k|正常解析
18k-22k·13薪,18.0,22.0,13,234.0,286.0,月薪,预处理|补全前项k|补全后项k|提取k后薪数|正常解析
11k-17k,11.0,17.0,12,132.0,204.0,月薪,预处理|补全前项k|补全后项k|正常解析
15k-27k,15.0,27.0,12,180.0,324.0,月薪,预处理|补全前项k|补全后项k|正常解析
13k-25k·24薪,13.0,25.0,24,312.0,600.0,月薪,预处理|补全前项k|补全后项k|提取k后薪数|正常解析
18k-36k·16薪,18.0,36.0,16,288.0,576.0,月薪,预处理|补全前项k|补全后项k|提取k后薪数|正常解析
10k-12k·17薪,10.0,12.0,17,170.0,204.0,月薪,预处理|补全前项k|补全后项k|提取k后薪数|正常解析
40k-70k,40.0,70.0,12,480.0,840.0,月薪,预处理|补全前项k|补全后项k|正常解析
15k-30k·24薪,15.0,30.0,24,360.0,720.0,月薪,预处理|补全前项k|补全后项k|提取k后薪数|正常解析
15k-18k·13薪,15.0,18.0,13,195.0,234.0,月薪,预处理|补全前项k|补全后项k|提取k后薪数|正常解析
15k-30k·19薪,15.0,30.0,19,285.0,570.0,月薪,预处理|补全前项k|补全后项k|提取k后薪数|正常解析
6k-10k·15薪,6.0,10.0,15,90.0,150.0,月薪,预处理|补全前项k|补全后项k|提取k后薪数|正常解析
45k-55k,45.0,55.0,12,540.0,660.0,月薪,预处理|补全前项k|补全后项k|正常解析
50k-66k,50.0,66.0,12,600.0,792.0,月薪,预处理|补全前项k|补全后项k|正常解析
12k-13k·13薪,12.0,13.0,13,156.0,169.0,月薪,预处理|补全前项k|补全后项k|提取k后薪数|正常解析
